Date,Open,High,Low,Close,Adj Close,Volume
24/02/2020,68.790001,70.040001,68.779999,69.360001,68.700172,2308900
25/02/2020,68.089996,68.580002,66.769997,66.919998,66.283379,2412500
26/02/2020,67,67.730003,66.25,66.290001,65.659378,1970000
27/02/2020,60.650002,62.380001,60.200001,60.209999,59.637215,6304500
28/02/2020,56.360001,58.57,55.400002,58.369999,57.814716,9497000
02/03/2020,57.48,58.66,57.009998,58.599998,58.04253,5376600
03/03/2020,57.080002,58.169998,56.259998,56.650002,56.111084,3162700
04/03/2020,57.59,57.849998,56.490002,57.810001,57.260048,2160300
05/03/2020,56.380001,56.400002,55.029999,55.57,55.041355,4127300
06/03/2020,54.59,55.169998,53.200001,53.799999,53.288193,2954500
09/03/2020,50.25,51.240002,47.869999,48.299999,47.840515,5838400
10/03/2020,50.060001,51.48,48.400002,51.130001,50.643593,4517100
11/03/2020,50.18,50.73,48.529999,49.200001,48.731953,3174800
12/03/2020,43.849998,44.48,40.849998,44.009998,43.591324,8439300
13/03/2020,45.290001,45.389999,42.650002,44.290001,43.868664,7368200
16/03/2020,39.09,40.110001,36.209999,37.200001,36.846111,9376300
17/03/2020,35.060001,39.029999,34.259998,38.099998,37.737549,9636300
18/03/2020,33.919998,36.060001,32.759998,35.18,34.845329,10166400
19/03/2020,32.689999,38,32.580002,36.360001,36.014103,6240900
20/03/2020,40.599998,42.880001,39.779999,40.299999,39.916618,4439000
23/03/2020,39.73,43.5,39.34,41.799999,41.402351,2887500
24/03/2020,44.23,44.48,43.029999,43.93,43.512089,3673500
25/03/2020,43,47,42.990002,45.59,45.156296,4875700
26/03/2020,44.299999,46.990002,44.290001,46.299999,45.859539,4087100
27/03/2020,43.360001,43.970001,42.34,42.990002,42.581032,3302500
30/03/2020,42.360001,43.09,41.669998,42.869999,42.46217,2599600
31/03/2020,42.73,45.18,42.630001,44.119999,43.700279,3024900
01/04/2020,44.380001,44.450001,43,43.049999,42.640457,1281500
02/04/2020,42.5,44.259998,42.080002,43.970001,43.551708,3564000
03/04/2020,43.650002,44.080002,42.599998,43.459999,43.046558,1477700
06/04/2020,44.150002,45.619999,44.119999,44.68,44.254951,2642400
07/04/2020,46.98,48.169998,45.900002,46.77,46.325069,1853900
08/04/2020,47.130001,48.290001,46.869999,47.900002,47.444321,1915400
09/04/2020,48.82,49.23,47.389999,48.900002,48.434811,3902500
13/04/2020,49.779999,49.939999,48.5,49.400002,48.930054,1817200
14/04/2020,48.060001,48.860001,47.669998,48.07,47.612701,4147700
15/04/2020,46.290001,46.779999,45,45.540001,45.106773,2962900
16/04/2020,46.400002,46.419998,45.25,45.5,45.067154,1392700
17/04/2020,45.59,46.060001,45.290001,45.950001,45.512871,2669500
20/04/2020,44.389999,45.27,44.009998,44.59,44.16581,2202900
